CA# generation fitness_with_discard=0,01
0 502 8320 
0 503 8320 
0 504 8320 
0 505 8320 
0 506 8320 
0 507 8320 
0 508 8320 
0 509 8320 
0 510 13440 
0 511 13440 
0 512 13440 
0 513 13440 
0 514 13440 
0 515 13440 
0 516 13440 
0 517 13440 
0 518 13440 
0 519 13440 
0 520 13440 
0 521 13440 
0 522 13440 
0 523 13440 
0 524 13440 
0 525 13440 
0 526 13440 
0 527 13440 
0 528 13440 
0 529 13440 
0 530 13440 
0 531 13440 
0 532 13440 
0 533 13440 
0 534 13440 
0 535 13440 
0 536 13440 
0 537 13440 
0 538 13440 
0 539 13440 
0 540 13440 
0 541 13440 
0 542 13440 
0 543 13440 
0 544 13440 
0 545 13440 
0 546 13440 
0 547 13440 
0 548 13440 
0 549 13440 
0 550 13440 
0 551 13440 
0 552 13440 
0 553 13440 
0 554 13440 
0 555 13440 
0 556 13440 
0 557 13440 
0 558 13440 
0 559 13440 
0 560 13440 
0 561 13440 
0 562 13440 
0 563 13440 
0 564 13440 
0 565 13440 
0 566 13440 
0 567 13440 
0 568 13440 
0 569 13440 
0 570 13440 
0 571 13440 
0 572 13440 
0 573 13440 
0 574 13440 
0 575 13440 
0 576 13440 
0 577 13440 
0 578 13440 
0 579 13440 
0 580 13440 
0 581 13440 
0 582 13440 
0 583 13440 
0 584 13440 
0 585 13440 
0 586 13440 
0 587 13440 
0 588 13440 
0 589 13440 
0 590 13440 
0 591 13440 
0 592 13440 
0 593 13440 
0 594 13440 
0 595 13440 
0 596 13440 
0 597 13440 
0 598 13440 
0 599 13440 
0 600 13440 
0 601 13440 
0 602 13440 
0 603 13440 
0 604 13440 
0 605 13440 
0 606 13440 
0 607 13440 
0 608 13440 
0 609 13440 
0 610 13440 
0 611 13440 
0 612 13440 
0 613 13440 
0 614 13440 
0 615 13440 
0 616 13440 
0 617 13440 
0 618 13440 
0 619 13440 
0 620 13440 
0 621 13440 
0 622 13440 
0 623 13440 
0 624 13440 
0 625 13440 
0 626 13440 
0 627 13440 
0 628 13440 
0 629 13440 
0 630 13440 
0 631 13440 
0 632 13440 
0 633 13440 
0 634 13440 
0 635 13440 
0 636 13440 
0 637 13440 
0 638 13440 
0 639 13440 
0 640 13440 
0 641 13440 
0 642 13440 
0 643 13440 
0 644 13440 
0 645 13440 
0 646 13440 
0 647 13440 
0 648 13440 
0 649 13440 
0 650 13440 
0 651 13440 
0 652 13440 
0 653 13440 
0 654 13440 
0 655 13440 
0 656 13440 
0 657 13440 
0 658 13440 
0 659 13440 
0 660 13440 
0 661 13440 
0 662 13440 
0 663 13440 
0 664 13440 
0 665 13440 
