Generation Fitness Majority
79 904 0.4279835390946502
80 904 0.4279835390946502
81 904 0.4279835390946502
82 904 0.4279835390946502
83 904 0.4279835390946502
84 904 0.4279835390946502
85 912 0.43621399176954734
86 912 0.43621399176954734
87 912 0.43621399176954734
88 912 0.43621399176954734
89 912 0.43621399176954734
90 912 0.43621399176954734
91 912 0.43621399176954734
92 912 0.43621399176954734
93 912 0.43621399176954734
94 956 0.4279835390946502
95 956 0.4279835390946502
96 956 0.4279835390946502
97 956 0.4279835390946502
98 956 0.4279835390946502
99 956 0.4279835390946502
100 956 0.4279835390946502
101 2600 0.448559670781893
102 2600 0.448559670781893
103 2600 0.448559670781893
104 2600 0.448559670781893
105 2600 0.448559670781893
106 2600 0.448559670781893
107 2600 0.448559670781893
108 2600 0.448559670781893
109 2600 0.448559670781893
110 2600 0.448559670781893
111 2600 0.448559670781893
112 2600 0.448559670781893
113 2600 0.448559670781893
114 2600 0.448559670781893
115 2600 0.448559670781893
116 2600 0.448559670781893
117 2600 0.448559670781893
118 2600 0.448559670781893
119 2600 0.448559670781893
120 2600 0.448559670781893
121 2600 0.448559670781893
122 2600 0.448559670781893
123 2892 0.43621399176954734
124 2892 0.43621399176954734
125 2892 0.43621399176954734
126 2892 0.43621399176954734
127 2892 0.43621399176954734
128 2892 0.43621399176954734
129 2892 0.43621399176954734
130 2892 0.43621399176954734
131 2892 0.43621399176954734
132 2892 0.43621399176954734
133 2892 0.43621399176954734
134 2892 0.43621399176954734
135 2892 0.43621399176954734
136 2892 0.43621399176954734
137 2892 0.43621399176954734
138 2892 0.43621399176954734
139 2892 0.43621399176954734
140 2892 0.43621399176954734
141 2892 0.43621399176954734
142 2892 0.43621399176954734
143 2892 0.43621399176954734
144 2892 0.43621399176954734
145 2892 0.43621399176954734
146 2892 0.43621399176954734
147 2892 0.43621399176954734
148 2892 0.43621399176954734
149 2892 0.43621399176954734
150 2892 0.43621399176954734
151 2892 0.43621399176954734
152 2892 0.43621399176954734
153 2892 0.43621399176954734
154 2892 0.43621399176954734
155 2892 0.43621399176954734
156 2892 0.43621399176954734
157 2892 0.43621399176954734
158 2892 0.43621399176954734
159 2892 0.43621399176954734
160 2892 0.43621399176954734
161 2892 0.43621399176954734
162 2892 0.43621399176954734
163 2892 0.43621399176954734
164 2892 0.43621399176954734
165 2892 0.43621399176954734
166 2892 0.43621399176954734
167 2892 0.43621399176954734
168 2892 0.43621399176954734
169 2892 0.43621399176954734
170 2892 0.43621399176954734
171 2892 0.43621399176954734
172 2892 0.43621399176954734
173 2892 0.43621399176954734
174 2892 0.43621399176954734
175 2892 0.43621399176954734
176 2892 0.43621399176954734
177 2892 0.43621399176954734
178 2892 0.43621399176954734
179 3124 0.4403292181069959
180 3124 0.4403292181069959
181 3124 0.4403292181069959
182 3124 0.4403292181069959
183 3124 0.4403292181069959
184 3124 0.4403292181069959
185 3124 0.4403292181069959
186 3124 0.4403292181069959
187 3124 0.4403292181069959
188 3124 0.4403292181069959
189 3124 0.4403292181069959
190 3124 0.4403292181069959
191 3124 0.4403292181069959
192 3124 0.4403292181069959
193 3124 0.4403292181069959
194 3124 0.4403292181069959
195 3124 0.4403292181069959
196 3124 0.4403292181069959
197 3124 0.4403292181069959
198 3124 0.4403292181069959
199 3124 0.4403292181069959
200 3124 0.4403292181069959
201 3124 0.4403292181069959
202 3124 0.4403292181069959
203 3124 0.4403292181069959
204 3124 0.4403292181069959
205 3124 0.4403292181069959
206 3124 0.4403292181069959
207 3124 0.4403292181069959
208 3124 0.4403292181069959
209 3124 0.4403292181069959
210 3124 0.4403292181069959
211 3124 0.4403292181069959
212 3124 0.4403292181069959
213 3124 0.4403292181069959
214 3124 0.4403292181069959
215 3124 0.4403292181069959
216 3124 0.4403292181069959
217 3124 0.4403292181069959
218 3124 0.4403292181069959
219 3124 0.4403292181069959
220 3124 0.4403292181069959
221 4592 0.448559670781893
222 4592 0.448559670781893
223 4592 0.448559670781893
224 4592 0.448559670781893
225 4592 0.448559670781893
226 4592 0.448559670781893
227 4592 0.448559670781893
228 4592 0.448559670781893
229 4592 0.448559670781893
230 4592 0.448559670781893
231 4592 0.448559670781893
232 4592 0.448559670781893
233 4592 0.448559670781893
234 4592 0.448559670781893
235 4592 0.448559670781893
236 4592 0.448559670781893
237 4592 0.448559670781893
238 4592 0.448559670781893
239 4592 0.448559670781893
240 4592 0.448559670781893
241 4592 0.448559670781893
242 4668 0.4403292181069959
243 4668 0.4403292181069959
244 4668 0.4403292181069959
245 4668 0.4403292181069959
246 4668 0.4403292181069959
247 4668 0.4403292181069959
248 5040 0.43209876543209874
249 5040 0.43209876543209874
250 5040 0.43209876543209874
251 5040 0.43209876543209874
252 5040 0.43209876543209874
253 5040 0.43209876543209874
254 5040 0.43209876543209874
255 5040 0.43209876543209874
256 5040 0.43209876543209874
257 5040 0.43209876543209874
258 5040 0.43209876543209874
259 5040 0.43209876543209874
260 5040 0.43209876543209874
261 5040 0.43209876543209874
262 5040 0.43209876543209874
263 5040 0.43209876543209874
264 5040 0.43209876543209874
265 5040 0.43209876543209874
266 5040 0.43209876543209874
267 5040 0.43209876543209874
268 5040 0.43209876543209874
269 5040 0.43209876543209874
270 5040 0.43209876543209874
271 5040 0.43209876543209874
272 5040 0.43209876543209874
273 5040 0.43209876543209874
274 5040 0.43209876543209874
275 5040 0.43209876543209874
276 5040 0.43209876543209874
277 5040 0.43209876543209874
278 5040 0.43209876543209874
279 5040 0.43209876543209874
280 5040 0.43209876543209874
281 5040 0.43209876543209874
282 5040 0.43209876543209874
283 5040 0.43209876543209874
284 5040 0.43209876543209874
285 5040 0.43209876543209874
286 5040 0.43209876543209874
287 5040 0.43209876543209874
288 5040 0.43209876543209874
289 5040 0.43209876543209874
290 5040 0.43209876543209874
291 5040 0.43209876543209874
