Generation Max Avg Min
515 6092 2735.1 1 
516 6092 2694.0 4 
517 6092 2575.8 2 
518 6092 2834.6 4 
519 6092 2879.4 2 
520 6092 2702.0 4 
521 6092 2709.5 2 
522 6092 3339.8 6 
523 6092 3335.2 12 
524 6092 2795.6 2 
525 6092 3022.6 6 
526 6092 2853.3 2 
527 6092 2810.8 12 
528 6092 3098.4 2 
529 6092 2941.3 9 
530 6092 3051.8 2 
531 6092 2981.7 2 
532 6092 2945.6 2 
533 6092 2987.0 2 
534 6092 3081.4 2 
535 6092 3095.4 2 
536 6092 3407.4 78 
537 6092 2745.8 2 
538 6092 2711.5 2 
539 6092 3039.8 26 
540 6092 2973.0 24 
541 6092 2839.8 6 
542 6092 2731.3 2 
543 6092 2761.9 2 
544 6092 2916.5 1 
545 6092 2641.4 4 
546 6092 2503.8 2 
547 6092 2513.2 12 
548 6092 2531.3 1 
549 6092 2678.8 12 
550 6092 2597.8 2 
551 6092 3146.9 3 
552 6092 3090.0 2 
553 6092 2815.7 1 
554 6092 3229.8 6 
555 6092 2453.9 1 
556 6092 2908.2 2 
557 6092 3069.0 12 
558 6092 2741.2 4 
559 6092 2674.8 2 
560 6092 3017.0 2 
561 6092 3019.3 1 
562 6092 2930.2 2 
563 6092 3007.9 2 
564 6092 3183.0 12 
565 6092 2924.7 2 
566 6092 3332.4 2 
567 6092 3294.0 8 
568 6092 2725.9 2 
569 6092 3017.6 2 
570 6092 3534.6 12 
571 6092 3429.6 12 
572 6092 2855.0 2 
573 6092 3056.6 6 
574 6092 3448.8 2 
575 6768 3738.4 2 
576 6768 3110.6 2 
577 6768 3443.7 9 
578 6768 3489.8 2 
579 6768 2557.0 2 
580 6768 2655.6 2 
581 6768 2964.6 2 
582 6768 3697.9 1 
583 6768 3174.8 12 
584 6768 3539.6 2 
585 6768 3172.6 1 
586 6768 3384.2 2 
587 6768 3439.4 2 
588 6768 2943.8 2 
589 6768 3011.8 4 
590 6768 3110.8 2 
591 6768 2756.4 1 
592 6768 2911.3 1 
593 6768 3270.6 2 
594 6768 2809.0 2 
595 6768 2891.6 12 
596 6768 3186.1 1 
597 6768 2816.4 1 
598 6768 2965.5 2 
599 6768 3287.6 12 
600 6768 3016.2 2 
601 6768 3002.0 2 
602 6768 2983.2 2 
603 6768 2960.4 2 
604 6768 3118.2 2 
605 6768 3093.9 1 
606 6768 3296.2 2 
607 6768 3139.6 4 
608 6768 2985.6 2 
609 6768 2898.3 1 
610 6768 3104.9 1 
611 6768 3061.5 2 
612 6768 2954.0 2 
613 6768 3025.6 2 
614 6768 3421.3 9 
615 6768 3160.6 28 
616 6768 3346.1 1 
617 6768 4075.0 2 
618 6768 4442.1 1 
619 6768 3153.4 2 
620 6768 3246.6 2 
621 6768 3580.6 2 
622 6768 3629.6 2 
623 6768 3531.8 2 
624 6768 3223.4 2 
625 6768 3743.0 2 
626 6768 3920.2 4 
627 6768 3855.6 24 
628 6768 3909.6 44 
629 6768 3842.8 12 
630 6768 4423.4 2 
